User_Notes,SERVICE_KEY,FULL_NAME,EPG_NUMBER,EPG_NAME,VESPA_NAME,CHANNEL_NAME,TECHEDGE_NAME,INFOSYS_NAME,BARB_REPORTED,ACTIVEX,CHANNEL_OWNER,OLD_PACKAGING,NEW_PACKAGING,PAY_FREE_INDICATOR,CHANNEL_GENRE,CHANNEL_TYPE,FORMAT,PARENT_SERVICE_KEY,TIMESHIFT_STATUS,TIMESHIFT_MINUTES,RETAIL,CHANNEL_REACH,HD_SWAP_EPG_NUMBER,SENSITIVE_CHANNEL,SPOT_SOURCE,PROMO_SOURCE,NOTES,EFFECTIVE_FROM,EFFECTIVE_TO,TYPE_ID,UI_DESCR,EPG_CHANNEL,AMEND_DATE,CHANNEL_PACK,SERVICE_ATTRIBUTE_VERSION,PRIMARY_SALES_HOUSE,CHANNEL_GROUP,PROVIDER_ID,PAY_SKY_SPORTS_FLAG,PAY_SPORTS_FLAG,PAY_TV_FLAG,KEY_PAY_ENTERTAINMENT_FLAG,SKY_SPORTS_NEWS_FLAG,SKY_MOVIES_FLAG,BT_SPORT_FLAG,Dummy
PAY FREE INDICATOR,3363,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3366,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3368,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3371,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3377,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3383,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3470,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3475,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sensitive,3606,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3616,.,.,.,.,.,.,.,.,.,.,.,.,PAY,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,3626,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3626,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PSK,3630,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PAY FREE INDICATOR,3656,.,.,.,.,.,.,.,.,.,.,.,.,FTA,.,NR - FTA - Radio,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
